Job Title,URL,Description,Posted Date,Source,Feed
"Cypress HCM hiring Senior Technical Writer, Game Developer Tools, 2643-1 in Los Angeles, CA",https://www.linkedin.com/jobs/view/4367009763/,"This contract position seeks a Senior Technical Writer to develop documentation for a games platform, SDK, and APIs. The role involves collaborating with engineers and product teams to transform complex technical information into developer-friendly content. Key responsibilities include creating and maintaining technical documentation, partnering with cross-functional teams to gather information, establishing documentation standards, and communicating updates to internal and external stakeholders. Required qualifications: 5+ years in technical writing or related fields, experience working with engineering teams, autonomous work capability, strong communication skills, Git proficiency, and markup language expertise (Markdown/HTML). Preferred skills include game development experience, design systems knowledge, gaming background, and familiarity with distributed team environments. Compensation: $80-$90 per hour (contract position).",2025-02-02,LinkedIn,Manual Addition
"Snowflake hiring Senior Technical Writer in Bellevue, WA",https://www.linkedin.com/jobs/view/4316381818/,"Snowflake seeks a Senior Technical Writer to create online guides, reference docs, and tutorials for technical audiences including SQL engineers and developers. The role involves collaborating with product managers, engineers, and UI designers to document features and changes, coordinating with release engineers for weekly updates, and supporting customer engagement through knowledge base articles, blog posts, and training materials. Requirements: 10+ years creating technical product documentation, strong SQL and RDBMS expertise, experience documenting security/governance technologies (IAM, networking, data governance), knowledge of content development lifecycle. Desired qualifications include ETL/ELT and BI technology familiarity, cloud platform experience (AWS, Azure, GCP), programming language knowledge, and docs-as-code tools (Git, Markdown, RST/Sphinx, DITA XML). Compensation: $126,000-$181,700 base salary, plus bonus and equity eligibility.",2025-02-09,LinkedIn,Manual Addition
"GEICO hiring Senior Taxonomist in Seattle, WA",https://www.linkedin.com/jobs/view/4369175853/,"GEICO seeks an experienced taxonomist for its Enterprise Data team. The role focuses on structuring the data and language that powers machine learning models, generative AI applications, NLP use cases, and enterprise knowledge graphs. Key responsibilities include developing taxonomies and controlled vocabularies, partnering with data scientists on dataset labeling, collaborating with engineering teams on search enhancement, establishing data annotation standards, and ensuring alignment with industry frameworks like ACORD standards. The position also involves evaluating automated classification tools and implementing semantic standards like SKOS. Requirements: Bachelor's or master's degree in computer science, linguistics, or related field; 5+ years developing taxonomies in regulated industries (insurance/financial services preferred); Python and SQL proficiency; graph database experience; and strong communication skills bridging technical and business teams. Compensation: $110,000-$230,000 annually.",2025-02-11,LinkedIn,Manual Addition
"Apple hiring Technical Writer, Applications in Seattle, WA",https://www.linkedin.com/jobs/view/4370779529/,"Apple's Applications team seeks a technical writer for Apple Creator Studio. This role combines specification writing and UX copy creation, allowing the candidate to influence product development from conceptual stages through testing. The position involves gathering requirements from Design, Product Management, Engineering, and stakeholders; writing detailed specifications capturing use cases, edge cases, and functional requirements; crafting user interface copy for millions of Apple device users; presenting proposed copy to senior executives; and leading documentation review meetings with 5-50 participants. Requirements: 1+ year software-related technical writing experience, ability to document complex multi-platform apps (Mac, iPad, iPhone), strong requirement-gathering and stakeholder communication skills, proficiency identifying use cases and edge cases, excellent writing, grammar, and style guide adherence, meticulous organizational abilities, public presentation experience, and BS/BA in Technical Writing, English, Computer Science, or related field. Compensation: $112,500-$231,700 annually, plus stock options, comprehensive benefits, and potential bonuses.",2025-02-11,LinkedIn,Manual Addition
"Databricks hiring Sr. Technical Writer, AI & Machine Learning in Seattle, WA",https://www.linkedin.com/jobs/view/4297758009/,"Databricks seeks a senior technical writer to create customer-focused documentation for their AI/ML platform. The role involves collaborating with engineers and product managers to develop documentation for developers and data engineers. Key responsibilities include developing effective, customer-focused technical documentation, collaborating with technical staff on best practices and guidance, guiding information architecture around customer use cases, editing content for accuracy and style adherence, creating diagrams and visual aids, and staying current with evolving AI/ML technologies. Requirements: 4+ years documenting sophisticated technologies for developers, in-person work in Bay Area or Seattle offices required, strong technical writing expertise and grammar skills, experience with ML/generative AI concepts, proficiency with Markdown, Git, and GitHub, and cross-functional collaboration skills. Compensation: $118,200-$162,600 USD (Zone 2).",2025-02-09,LinkedIn,Manual Addition
"CoreWeave hiring Senior Technical Writer in Bellevue, WA",https://www.linkedin.com/jobs/view/4355221860/,"CoreWeave seeks a Senior Technical Writer to join their documentation team. The role involves creating product documentation, tutorials, guides, and example scripts for infrastructure offerings. Key responsibilities include testing user workflows, aggregating customer feedback from support and sales teams, and maintaining documentation style consistency. Required qualifications: 5+ years of technical documentation experience writing for software developers, data scientists, or ML practitioners; strong scripting expertise for API interactions and documentation generation. Preferred qualifications include experience with LLM APIs and ML frameworks (Keras, TensorFlow, PyTorch), self-directed approach with ownership mentality, and strong communication and organizational skills. Compensation: Base salary $165,000-$242,000 annually, plus discretionary bonus, equity awards, and comprehensive benefits including health insurance, 401(k) matching, flexible PTO, and parental leave support.",2025-02-12,LinkedIn,Manual Addition
"Meta hiring Content Engineer in Menlo Park, CA",https://www.linkedin.com/jobs/view/4364188845/,"Meta's Superintelligence Labs seeks a content engineer to shape AI product experiences through strategy and prompt engineering. The role involves directing large-language model behavior, partnering with technical and product teams, and building experiences that entertain, inform and delight. Key responsibilities include developing program plans for AI content products, establishing quality standards and measurement frameworks, managing multiple projects, and leading through cross-functional collaboration. Required qualifications: experience collaborating with product/technical teams, editing proficiency, critical thinking and editorial judgment on nuanced topics, cross-functional project leadership, and GenAI experience, particularly model evaluation and strategic planning. Preferred qualifications include product roadmapping experience, prompt engineering and annotation background, and AP Style familiarity. Compensation: $242,000-$296,000 annually, plus bonus, equity, and benefits.",2025-02-13,LinkedIn,Manual Addition
"Datadog hiring Technical Writer in Washington, United States",https://www.linkedin.com/jobs/view/4369001336/,"Datadog seeks a technical writer to join their Writing & Documentation team. The role involves partnering with product and engineering teams to create public user documentation for observability and automation products, particularly for Datadog Docs. Key responsibilities include managing documentation projects and creating public user documentation, gathering technical details through product review and hands-on testing, creating developer-facing documentation for SDKs, APIs, and developer tools, maintaining documentation standards and contributing to process improvements, participating in interrupt-handling rotation for documentation requests, and reviewing and providing editorial feedback on documentation. Requirements: minimum 3 years technical writing experience with developer documentation, proficiency in Markdown, static-site generators, and Github (docs as code), ability to read and understand code in programming languages, familiarity with cloud services and containers, public technical writing samples, experience with complex multi-interaction platforms, and experience using AI tools in documentation work. Compensation: $125,000-$155,000 USD annually.",2025-02-09,LinkedIn,Manual Addition
"RevenueCat hiring Senior Documentation Manager in United States",https://www.linkedin.com/jobs/view/4359601159/,"RevenueCat seeks a Senior Documentation Manager to own their end-to-end documentation experience. This first hire in the role will establish documentation strategy, information architecture, and consistency across platforms. Key responsibilities include defining a clear, opinionated structure for RevenueCat's documentation, developing style guidelines and maintaining consistency in voice and quality, partnering with Engineering and Product to ensure accurate documentation, structuring content for both human readers and AI consumption, and expanding documentation into tutorials, videos, and guides. Requirements: 5-8+ years in technical documentation or developer education, experience with git-based, markdown-driven systems (Docusaurus preferred), strong editorial mindset with technical depth, and proven track record designing processes for documentation accuracy. Compensation: $169,000/year base pay. Benefits include equity in Series C startup, remote work, 4-5 weeks PTO, workspace stipend, and learning budget.",2025-01-16,LinkedIn,Manual Addition
"LaunchDarkly hiring Staff Content Designer in Seattle, WA",https://www.linkedin.com/jobs/view/4359727650/,"LaunchDarkly seeks their inaugural Content Designer to enhance product accessibility and comprehension. The role focuses on crafting clear, human-centered language across product experiences, from onboarding to developer UX. Key responsibilities include designing in-product language, creating content guidelines, and applying systems thinking to product experiences. The designer will partner with UX, product management, technical writing, and marketing teams. Requirements: 8+ years content design experience with strategic project leadership. Candidates should demonstrate expertise in nomenclature, information architecture, and SaaS/Enterprise products. Portfolio required. Compensation: Based on geographic zones: Zone 1 (SF/NYC/Seattle) $191,800-$263,670, Zone 2 (Austin, LA, Chicago, etc.) $172,600-$237,270, Zone 3 (Other US) $163,000-$224,070. Benefits include RSUs, health/dental/vision/mental health coverage.",2025-02-09,LinkedIn,Manual Addition
"Confluent hiring Senior Technical Writer in Seattle, WA",https://www.linkedin.com/jobs/view/4367605551/,"Confluent seeks a technical writer to document their Apache Kafka streaming platform. The role involves collaborating across Engineering, Product, and Support to produce developer-focused documentation with unified examples and consistent quality. The writer will create SEO-optimized, searchable content using modern documentation tools. Key responsibilities include working cross-functionally with Engineering, Product, Support, and more to create best-of-breed documentation, developing documentation using Git, GitHub, reStructuredText, and Markdown, and creating LLM-optimized content. Requirements: 5+ years technical documentation experience for developers, strong writing and communication skills, code reading ability (Java, Python), cloud product and distributed systems experience, familiarity with generative AI tools, and Bachelor's degree in English, Technical Writing, Computer Science, or related field. Compensation: $155,700-$183,000 annually.",2025-02-02,LinkedIn,Manual Addition
"Databricks hiring Staff Technical Writer, Platform in San Francisco, CA",https://www.linkedin.com/jobs/view/4297742134/,"Databricks seeks a technical writer to craft documentation for data professionals. The role involves collaborating with engineers and product managers to create customer-focused materials, developing information architecture around use cases, and leveraging data to inform content strategy. Key requirements: 6+ years documenting sophisticated technologies for developers, in-person work in Bay Area or Seattle offices, strong technical writing expertise with Git/GitHub proficiency, experience with data products, cloud computing, and SQL, and information architecture and project management skills. Compensation: $145,400-$199,850 USD (Zone 1). Databricks provides a data intelligence platform serving 10,000+ organizations, including over 50% of Fortune 500 companies. The company was founded by creators of Lakehouse, Apache Spark, Delta Lake, and MLflow.",2025-02-10,LinkedIn,Manual Addition
"Confluent hiring Senior Technical Writer in California, United States",https://www.linkedin.com/jobs/view/4367605552/,"Confluent seeks a technical writer to document their Apache Kafka distribution platform. The role involves collaborating across Engineering, Product, and Support teams to create developer-focused documentation with unified examples, consistent style, and jaw-dropping quality. Key responsibilities include cross-functional documentation creation ensuring customer success, SEO-optimized, searchable documentation development, and content standardization and quality assurance. Required qualifications: 5+ years technical documentation experience for developers, strong writing and communication abilities, demonstrated portfolio of technical documentation work, Git/GitHub proficiency, Markdown or reStructuredText experience, code-reading ability (Java/Python), cloud products and distributed systems knowledge, generative AI tool experience (Cursor, GitHub Copilot), and Bachelor's degree in English, Technical Writing, Computer Science, or related field. Compensation: $155,700-$183,000 annually.",2025-02-02,LinkedIn,Manual Addition
"NVIDIA hiring Content Engineer, Developer Documentation in Santa Clara, CA",https://www.linkedin.com/jobs/view/4367380761/,"NVIDIA seeks a Documentation Engineer/Technical Writer to own developer documentation end-to-end. This role combines content creation with documentation platform management, including docs-as-code, site build, CI checks, and automation. Key responsibilities include managing product documentation lifecycle from requirements through publication, collaborating with engineers, product managers, and QA to validate accuracy, building and maintaining documentation infrastructure and workflows, and identifying and resolving documentation gaps and quality issues. Requirements: Bachelor's degree or equivalent, 5+ years relevant experience, proficiency with Git-based workflows, Markdown/reStructuredText, experience with modern documentation platforms (Fern, etc.), and strong editing and information architecture skills. Preferred qualifications include API/SDK documentation experience, large-scale documentation platform maintenance, and Python or JavaScript scripting for documentation automation. Compensation: $116,000-$189,750 annually, plus equity and benefits.",2025-02-02,LinkedIn,Manual Addition
"CoreWeave hiring Senior Technical Writer in United States",https://www.linkedin.com/jobs/view/4355211831/,"CoreWeave seeks a Senior Technical Writer to join the Documentation Team, reporting to the Director of Documentation. The role involves creating and maintaining product documentation for infrastructure offerings, including API docs, tutorials, guides, and reference materials. Key responsibilities include prioritizing documentation projects, testing product workflows, aggregating user feedback, and maintaining style consistency. The successful candidate will collaborate with Product, Engineering, Growth, Sales, Support, and Solutions Architecture teams. Requirements: 5+ years technical documentation experience, strong scripting expertise for content generation and automation, and experience writing for software developers, data scientists, or ML practitioners. Preferred qualifications include experience with LLM APIs and ML frameworks (Keras, TensorFlow, PyTorch), scrappy, ownership-oriented mindset, and strong communication and organizational skills. Compensation: $165,000-$242,000 annually, plus discretionary bonus, equity awards, and comprehensive benefits including medical/dental/vision coverage, 401(k) matching, flexible PTO, and parental leave.",2025-02-12,LinkedIn,Manual Addition
"Databricks hiring Staff Technical Writer, Platform in Seattle, WA",https://www.linkedin.com/jobs/view/4297741876/,"Databricks seeks a Staff Technical Writer to develop documentation for their data and AI platform. The role requires 6+ years of documenting sophisticated technologies for developers and involves working with engineers, product managers, and customer-facing teams. Key responsibilities include creating customer-focused documentation, guiding information architecture around use cases, and leveraging data to inform content strategy. Candidates should demonstrate expertise in technical writing tools, proficiency with Git/GitHub and Markdown, and experience with data products and SQL. The position offers flexibility between Bay Area and Seattle offices. Compensation ranges from $138,100-$189,850 USD (Zone 2), with eligibility for performance bonuses, equity, and comprehensive benefits.",2025-02-09,LinkedIn,Manual Addition
"Walrus Foundation hiring Senior Technical Writer in United States",https://www.linkedin.com/jobs/view/4363613462/,"Walrus Foundation seeks a Technical Writer for their Documentation Experience team, reporting to the Head of Developer Relations. The role involves creating content that supports developers, node operators, and partners using Mysten Labs' technologies. Key responsibilities include writing, designing, and updating documentation and sample code, collaborating across Engineering, Product, Marketing, and Developer Relations teams, and contributing to documentation tooling and processes. Ideal candidate qualities include welcoming feedback and being open to new ideas, building rapport with technical writing team members, creating content reducing support costs, understanding blockchain technology and verifying technical accuracy, and writing sample code supporting documentation. Helpful experience includes project management and familiarity with Sui and Move ecosystem. Compensation: $152,000-$209,000 annually.",2025-01-16,LinkedIn,Manual Addition
"OpenFX hiring Senior Technical Writer, API Documentation in London, OH",https://builtin.com/job/senior-technical-writer-api-documentation/8227324,"OpenFX seeks a founding-level technical writer to build comprehensive API documentation for their cross-border payment infrastructure. The position involves establishing documentation systems from scratch, translating complex financial engineering into developer-friendly content, and ensuring integration complexity becomes approachable. Key responsibilities include designing information architecture and taxonomy scaling from quickstart guides to advanced treasury references, selecting and implementing the API documentation platform tech stack, translating engineering concepts into developer-focused explanations covering idempotency, webhooks, and settlement states, implementing OpenAPI/Swagger workflows as product contracts with automated reference generation, participating in product and engineering reviews as the first user providing feedback on API usability before production, creating quickstart guides and code snippets targeting sub-15-minute integration time, and reducing support tickets by 40% through comprehensive documentation. Success metrics include launching a public developer portal with references, guides, and changelog, achieving 100% endpoint coverage with examples in three languages, and enabling first API calls within 15 minutes. Required qualifications: 5+ years documenting REST APIs for B2B/infrastructure products, docs-as-code proficiency (Markdown, Git, CI/CD workflows), code-reading ability and distributed systems understanding, demonstrated ability simplifying complex concepts into linear guides, portfolio showing conceptual why explanations over feature descriptions, comfort building documentation systems independently, and fintech/payments domain knowledge. Preferred skills include interactive documentation implementation (code playgrounds, Try it now features), multimedia creation (videos, diagrams, architecture visualizations), and AI-assisted development workflow optimization.",2026-02-11,builtin.com,Manual Addition
"Midi Health hiring Senior Editor, Content in United States",https://builtin.com/job/senior-editor-content/8498157,"Midi Health operates a virtual clinic specializing in women's midlife health, providing insurance-covered care for perimenopause and menopause management. The organization combines clinical expertise with technology and has secured backing from top-tier investors while serving hundreds of thousands of patients across the United States. Key responsibilities include overseeing the editorial calendar and production workflow, serving as final editorial authority before publication, managing freelance contributor networks, operating the Prismic CMS platform, coordinating with content leadership on strategy, collaborating with creative teams on visual assets, mentoring writers and editors, and identifying opportunities to enhance content quality and operational efficiency. Required qualifications: 5-7 years of editorial experience in content marketing, SEO, or publishing (ideally healthcare-focused), strong editorial judgment, exceptional writing and editing abilities, proficiency managing freelance networks, organizational capacity for multiple concurrent projects, hands-on CMS experience, and cross-functional communication skills. Bonus qualifications include medical or expert review workflow experience and startup environment background. Compensation: $140,000-$165,000 annually (base pay), with equity and benefits included.",2026-02-14,builtin.com,Manual Addition
"Zscaler hiring Senior Web Content Writer in United States",https://builtin.com/job/senior-web-content-writer/8475425,"Zscaler seeks a Senior Web Content Writer to create and optimize website content to drive organic growth. Key responsibilities include developing web pages, blogs, and solution content aligned with priority keywords and search intent, partnering with SEO/AEO teams to enhance on-page performance through metadata optimization and internal linking, collaborating cross-functionally with subject matter experts, product marketing, UX/design, and engineering teams, auditing and refreshing existing content to maintain quality standards aligned with E-E-A-T principles, and using AI responsibly for ideation and early drafts while maintaining quality control. Minimum qualifications: 3+ years of web/content writing experience (SaaS/B2B tech preferred; cybersecurity experience valued), demonstrated understanding of SEO/AEO principles and content structuring, strong writing, editing, and storytelling abilities with voice adaptability, comfort using AI tools while maintaining rigorous quality standards, and experience with multilingual content workflows and localization. Preferred qualifications include CMS familiarity (Drupal preferred) and basic HTML knowledge, and working knowledge of content analytics tools (Google Analytics, Google Search Console, SEMrush). Compensation: $115,500-$165,000 USD annually.",2026-02-12,builtin.com,Manual Addition
"Garner Health hiring Senior Content Designer in United States",https://builtin.com/job/senior-content-designer/8486714,"Garner Health transforms healthcare by partnering with employers to redesign benefits using data-driven insights and incentives that guide employees toward higher-quality, lower-cost care. This position reports to the Head of Product Design and centers on managing all in-app content, including systems, voice/tone guidelines, processes, and copy implementation. Key responsibilities include simplifying complex healthcare concepts into user-friendly copy through cross-team collaboration, establishing and refining copy development processes including translation and approval workflows, developing and maintaining a scalable content management system, aligning in-app messaging with brand voice and marketing objectives, and conducting consistency audits, user testing, and iterative improvements independently. Required qualifications: exceptional writing ability focused on clarity and efficiency, proven experience managing UX copy systems at scale (Contentful experience preferred), strong ownership mentality with proactive improvement mindset, excellent stakeholder management and collaboration skills, adaptability with emerging technologies including AI integration, and capacity to manage multiple concurrent projects across teams. Compensation: $167,000-$200,000 annually, plus equity participation, flexible PTO, health insurance options (medical/dental/vision), 401(k), Teladoc Health, and additional competitive benefits.",2026-02-13,builtin.com,Manual Addition
