Job Title,URL,Description,Posted Date,Source,Feed
"Integrated Resources, Inc ( IRI ) hiring CMC Technical Writer in Pennsylvania, United States",https://www.linkedin.com/jobs/view/cmc-technical-writer-at-integrated-resources-inc-iri-4372796773,"Title: CMC Technical Writer Location : Remote Duration : 12 months Summary We are seeking a technical writer who will author and review Analytical Test Methods to commercialize procedures for the QC testing area by working closely with method experts. • The candidate may also author and review documents supporting regulatory submissions working closely with regulatory groups. • The successful candidate must function well and be able to collaborate in a fast-paced, integrated, multidisciplinary team environment. Primary Responsibilities: • Authoring and critically reviewing technical documents including Regulatory Filing sections and Analytical Test Methods. • Authoring and reviewing documentation compliant with current Good Manufacturing Practices (cGMP), including Second Person Review or Second Scientist Review. • Participate in group initiatives related to document standards, template development, internal processes, and other aspects of document management. • Collaborate closely with key stakeholders. Looking for someone who has relevant experience within pharmaceutical industry within authoring and reviewing documents related to analytical test methods, regulatory filing, CMC CTD module 2/3 or Biologics License Application (BLA). Education: • Minimum qualification- BS/BA in life sciences/engineering is required • Master's degree/PHD preferred Required Experience and Skills: • At least 2 years working experience in a cGMP laboratory environment. • Experience in the biopharmaceutical manufacturing industry, such as in biologics or vaccines commercialization, technical operations, or quality control. • Strong oral and written communication skills. • Work independently and within cross-functional teams. • Maintain a proactive and service-oriented mindset. • Experience with MS Office and document repository systems. Preferred Experience and Skills: • Experience with analytical method validation and transfer according to ICH and USP guidelines. • Experience with laboratory data management systems",2026-02-16 15:27:19,LinkedIn,357 Technical Writer jobs in United States
ZRG Careers hiring Precision Medicine Navigation Scientist in United States,https://www.linkedin.com/jobs/view/precision-medicine-navigation-scientist-at-zrg-careers-4366630111,Posted 7:50:16 PM. Precision Medicine Navigation Scientist Location: Remote - United States or CanadaReports to: Sr…See this and similar jobs on LinkedIn.,2026-02-16 00:00:00,LinkedIn,448 Ontology jobs in United States
"Starbucks hiring data librarian- Data & Analytics (Seattle, WA) in Seattle, WA",https://www.linkedin.com/jobs/view/data-librarian-data-analytics-seattle-wa-at-starbucks-4321326955,"Data Librarian (Seattle - U.S.) Now Brewing - Pouring Clarity into Every Cup of Knowledge! #tobeapartner From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others. The Data Librarian is responsible for managing and organizing data assets across the organization. This role ensures data is cataloged, accessible, and governed according to metadata standards and data governance policies. The Data Librarian collaborates with data owners, stewards and analysts to enhance data discoverability, quality, and usability. As a data librarian, you will… Apply tags, classifications, physical and logical glossary terms consistently across the data intelligence platform Guide and educate metadata stewardship across business domains Establish and enforce metadata quality, version control, and taxonomy/ontology standards. Represent data librarianship in enterprise data governance forums and initiatives. Document and drive enterprise-wide adoption of data cataloging and literacy initiative We'd Love To Hear From People With Collibra or Data Intelligence Platform experience required Bachelor's degree in Library Science, Information Science, Data Management, or related field (Master's preferred). 2-5 years of experience in data management, digital librarianship, or metadata management. Familiarity with data cataloging tools and metadata standards (DCMI, ISO 11179, etc.). As a Starbucks partner, you (and your family) will have access to medical, dental, vision, basic and supplemental life insurance, and other voluntary insurance benefits. Partners have access to short-term and long-term disability, paid parental leave, family expansion reimbursement, paid vacation from date of hire*, sick time (accrued at 1 hour for every 25 hours worked), eight paid holidays, and two personal days per year. Starbucks also offers eligible partners participation in a 401(k) retirement plan with employer match, a discounted company stock program (S.I.P.), Starbucks equity program (Bean Stock), incentivized emergency savings, and financial well-being tools. Additionally, Starbucks offers 100% upfront tuition coverage for a first-time bachelor's degree through Arizona State University's online program via the Starbucks College Achievement Plan, student loan management resources, and access to other educational opportunities. You will also have access to backup care and DACA reimbursement. Starbucks will comply with any applicable state and local laws regarding employee leave benefits, including, but not limited to providing time off pursuant to the Colorado Healthy Families and Workplaces Act, and in accordance with its plans and policies. This list is subject to change depending on collective bargaining in locations where partners have a certified bargaining representative. For additional information regarding partner perks and more detailed information about benefits, go to starbucksbenefits.com. If you are working in CA, CO, IL, LA, ME, MA, NE, ND or RI, you will accrue vacation up to a maximum of 120 hours (190 in CA) for roles below director and 200 hours (316 in CA) for roles at director or above. For roles in other states, you will be granted vacation time starting at 120 hours annually for roles below director and 200 hours annually for roles director and above. The actual base pay offered to the successful candidate will be based on multiple factors, including but not limited to job-related knowledge/skills, experience, geographical location, and internal equity. At Starbucks, it is not typical for an individual to be hired at the high end of the range for their role, and compensation decisions are dependent upon the facts and circumstances of each position and candidate. We believe we do our best work when we're together, which is why we're onsite four days a week. Join us and inspire with every cup. Apply today! Starbucks Coffee Company is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, or protected veteran status, or any other characteristic protected by law. Qualified applicants with criminal histories will be considered for employment in a manner consistent with all federal, state and local ordinances. Starbucks Coffee Company is committed to offering reasonable accommodations to job applicants with disabilities. If you need assistance or an accommodation due to a disability, please contact us at applicantaccommodation or 1(888) 611-2258.",2026-02-15 11:39:34,LinkedIn,448 Ontology jobs in United States
"AT&T hiring Senior Content Writer in Bothell, WA",https://www.linkedin.com/jobs/view/senior-content-writer-at-at-t-4372075768,"This position requires office presence of a minimum of 5 days per week and is only located in the location(s) posted. No relocation is offered. Work locations: Dallas, TX; Bothell, WA At AT&T, we empower leaders to drive change in a fast-evolving, connected world. Your strategic vision will help serve customers and transform lives through innovative solutions and impactful connections. The senior content writer is responsible for writing UX content for att.com and the myAT&T app, including e-commerce, account management, and chat flows for consumer audiences. This person may also create support content, including customer-facing articles and troubleshooting tools. The ideal candidate can turn technical and legal jargon into plain English while following our brand voice and accessibility guidelines. Primary Responsibilities Take content from concept to publication, implementing AT&T digital experience standards and business objectives. Review and collaborate on design wireframes and comps to deliver the best customer experiences. Ensure all content follows style guide, editorial, SEO, and accessibility guidelines as well as AT&T brand voice and tone. Support scrum teams and collaborate with designers, product managers, developers, business partners, and legal to regularly release new features. Core competencies & requirements Bachelor's degree in English, communications, journalism, or equivalent experience. Portfolio of UX content that demonstrates an understanding of product design processes and showcases content decisions. Three to five years' mid-level experience in UX writing or content design for a consumer audience, with some experience managing content projects independently. Two+ years' experience in content strategy balancing user testing, industry research, and other analytics for marketing and business needs. Three to five years' experience writing UX for digital spaces (e.g., e-commerce sales flows, mobile apps, support articles, account management flows). Exceptional collaboration skills and comfortable guiding stakeholders through customer journeys. Experience writing or editing microcopy, including error messages, button labels, or status messages. Strong attention to detail and a knack for communicating complex concepts clearly and concisely. Agile or development cycle experience (one+ year preferred). Experience with design tools (e.g., Figma, Sketch, or Adobe XD) and project management systems (e.g., Jira, Azure DevOps, or Workfront) a plus. Experience with conversation design a plus. Our Senior Content Writer earns between $87,200 - $130,800 USD Annual. Not to mention all the other amazing rewards that working at AT&T offers. Individual starting salary within this range may depend on geography, experience, expertise, and education/training. Joining our team comes with amazing perks and benefits: Medical/Dental/Vision coverage 401(k) plan Tuition reimbursement program Paid Time Off and Holidays (based on date of hire, at least 23 days of vacation each year and 9 company-designated holidays) Paid Parental Leave Paid Caregiver Leave Additional sick leave beyond what state and local law require may be available but is unprotected Adoption Reimbursement Disability Benefits (short term and long term) Life and Accidental Death Insurance Supplemental benefit programs: critical illness/accident hospital indemnity/group legal Employee Assistance Programs (EAP) Extensive employee wellness programs Employee discounts up to 50% off on eligible AT&T mobility plans and accessories, AT&T internet (and fiber where available) and AT&T phone If you're ready to make an impact on our business and your career, bring your bold ideas to a world of possibility. Apply today! Ready to join our team? Apply today! Weekly Hours: 40 Time Type: Regular Location: Bothell, Washington, Dallas, Texas Salary Range: $96,000.00 - $144,000.00 It is the policy of AT&T to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, AT&T will provide reasonable accommodations for qualified individuals with disabilities. AT&T is a fair chance employer and does not initiate a background check until an offer is made.",2026-02-14 20:14:55,LinkedIn,87 Technical Writer jobs in Seattle
"Jobs via Dice hiring Technical Writer (ETRM) / Hybrid (3-4 Days Onsite Required - Bellevue, WA) in Bellevue, WA",https://www.linkedin.com/jobs/view/technical-writer-etrm-hybrid-3-4-days-onsite-required-bellevue-wa-at-jobs-via-dice-4372090593,"Senior Technical Writer (ETRM) Hybrid Schedule - 3-4 Days Onsite in Bellevue, WA Required 24-Month Contract We are seeking a highly skilled Technical Writer to support an Energy Trading and Risk Management (ETRM) team by creating, editing, and publishing complex documentation for mission-critical trading, risk, and compliance systems. This role requires close collaboration with subject-matter experts-including traders, risk analysts, developers, and system owners-to translate highly technical concepts into clear, accurate, and structured documentation. The position also involves full lifecycle ownership of documentation and publishing across multiple platforms while ensuring consistency, quality, and version control. Work Requirements Hybrid schedule: 3-4 days onsite each week in Bellevue, WA (Must be local to the greater Seattle, WA area) Supporting three active projects Contributing to operational reliability, knowledge retention, efficiency, and stakeholder confidence Top Required Skills Advanced Technical Writing & Editing: Proven ability to develop and refine documentation for complex enterprise systems with strong accuracy, clarity, structure, and consistency. ETRM / Enterprise Systems Collaboration: Experience working with SMEs in Energy Trading, Risk Management, or similarly complex operational environments; able to translate technical and business concepts for diverse audiences. Documentation Lifecycle & Publishing Management: Skilled in end-to-end documentation processes-drafting, reviews, approvals, publication, and updates-across multiple platforms with strong version control and adherence to standards. What Strong Candidates Will Demonstrate Experience documenting multi-layered or enterprise-level systems, ideally within energy, trading, or similarly complex environments. Mastery of writing fundamentals: precision, structure, clarity, consistent terminology, and the ability to simplify complex concepts. Hands-on collaboration with engineering, architecture, product teams, or other SMEs. Proven ownership of the full documentation lifecycle, including governance, change control, style guides, and multi-format publishing. Key Responsibilities Research, write, and edit complex documentation related to ETRM systems, workflows, integrations, and processes. Ensure all content meets editorial and quality standards, including format, graphics, and style guidelines. Collaborate with SMEs-traders, risk analysts, developers, and system owners-to gather and validate information. Coordinate with writers, illustrators, and publishing resources to prepare and refine document drafts. Manage documentation throughout the full lifecycle: creation, review, approval, publication, and maintenance. Publish content to SharePoint, Confluence, PDFs, internal knowledge bases, and other channels. Maintain an understanding of assigned systems, trading workflows, and regulatory considerations. Participate in project teams supporting enhancements, upgrades, and operational readiness. Track documentation deliverables to support project milestones and audit readiness. Job Type & Location This is a Contract position based out of Bellevue, WA. Pay And Benefits The pay range for this position is $50.00 - $60.00/hr. Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific elections, plan, or program terms. If eligible, the benefits available for this temporary role may include the following: Medical, dental & vision Critical Illness, Accident, and Hospital 401(k) Retirement Plan - Pre-tax and Roth post-tax contributions available Life Insurance (Voluntary Life & AD&D for the employee and dependents) Short and long-term disability Health Spending Account (HSA) Transportation benefits Employee Assistance Program Time Off/Leave (PTO, Vacation or Sick Leave) Workplace Type This is a hybrid position in Bellevue,WA. Application Deadline This position is anticipated to close on Feb 18, 2026. >About TEKsystems: We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law. About TEKsystems And TEKsystems Global Services We're a leading provider of business and technology services. We accelerate business transformation for our customers. Our expertise in strategy, design, execution and operations unlocks business value through a range of solutions. We're a team of 80,000 strong, working with over 6,000 customers, including 80% of the Fortune 500 across North America, Europe and Asia, who partner with us for our scale, full-stack capabilities and speed. We're strategic thinkers, hands-on collaborators, helping customers capitalize on change and master the momentum of technology. We're building tomorrow by delivering business outcomes and making positive impacts in our global communities. TEKsystems and TEKsystems Global Services are Allegis Group companies. Learn more at TEKsystems.com. The company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",2026-02-14 19:19:15,LinkedIn,87 Technical Writer jobs in Seattle
"Actalent hiring Technical Writer III in Kirkland, WA",https://www.linkedin.com/jobs/view/technical-writer-iii-at-actalent-4373215233,"Job Title: Technical Writer III Job Description We are seeking an outstanding Technical Writer to join a high-growth project focused on creating and publishing technical documentation for a fast-paced manufacturing line. The role involves developing work instructions, equipment SOPs, and preventative maintenance plans. You will test and maintain structured content templates and deployment materials, leveraging industry standards for effective information sharing. Collaboration with customers and internal partners to understand their needs is key to identifying opportunities for content improvement. Responsibilities Create and maintain work instructions for all product lines, conducting periodic audits to ensure high-quality content. Develop platforms to house training, reference, and troubleshooting content, supporting content aggregation for project teams. Support the deployment engineering change management process. Contribute to content management, project management strategy, and tool suite development by gathering customer input and designing content templates. Evaluate and optimize technical content effectiveness using engagement metrics, collaborating with data teams to measure and validate. Identify process improvements, documentation design enhancements, and content development roadblocks, offering solutions to address them. Essential Skills Proven technical writing experience in a manufacturing setting. Strong skills in creating documentation, templates, and work instructions. Ability to engage with key stakeholders and act in an advisory capacity. Experience in systems architecture and support as a Subject Matter Expert (SME). Strategic thinking regarding mission, product, and technical needs. Additional Skills & Qualifications Experience in engineering and manufacturing environments. Familiarity with content management systems and best practices. Ability to innovate in content delivery to improve safety, quality, and efficiency. We reserve the right to pay above or below the posted wage based on factors unrelated to sex, race, or any other protected classification. Eligibility Requirements Apply To Some Benefits And May depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific elections, plan, or program terms. This temporary role may be eligible for the Following Medical, dental & vision 401(k)/Roth Insurance (Basic/Supplemental Life & AD&D) Short and long-term disability Health and Dependent Care Spending Accounts (HAS & DCFSA) Transportation benefits Employee Assistance Program Time off/Leave (PTO, Vacation, or Sick Leave) Job Type & Location This is a Contract position based out of Redmond, WA. Pay And Benefits The pay range for this position is $40.00 - $48.00/hr. Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific elections, plan, or program terms. If eligible, the benefits available for this temporary role may include the following: Medical, dental & vision Critical Illness, Accident, and Hospital 401(k) Retirement Plan - Pre-tax and Roth post-tax contributions available Life Insurance (Voluntary Life & AD&D for the employee and dependents) Short and long-term disability Health Spending Account (HSA) Transportation benefits Employee Assistance Program Time Off/Leave (PTO, Vacation or Sick Leave) Workplace Type This is a fully onsite position in Redmond,WA. Application Deadline This position is anticipated to close on Feb 27, 2026. About Actalent Actalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500. The company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law. If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",2026-02-14 13:33:42,LinkedIn,87 Technical Writer jobs in Seattle
"TEKsystems hiring Technical Writer (ETRM) / Hybrid (3-4 Days Onsite Required - Bellevue, WA) in Bellevue, WA",https://www.linkedin.com/jobs/view/technical-writer-etrm-hybrid-3-4-days-onsite-required-bellevue-wa-at-teksystems-4372993853,"Senior Technical Writer (ETRM) Hybrid Schedule - 3-4 Days Onsite in Bellevue, WA Required 24‑Month Contract We are seeking a highly skilled Technical Writer to support an Energy Trading and Risk Management (ETRM) team by creating, editing, and publishing complex documentation for mission‑critical trading, risk, and compliance systems. This role requires close collaboration with subject‑matter experts-including traders, risk analysts, developers, and system owners-to translate highly technical concepts into clear, accurate, and structured documentation. The position also involves full lifecycle ownership of documentation and publishing across multiple platforms while ensuring consistency, quality, and version control. Work Requirements Hybrid schedule: 3-4 days onsite each week in Bellevue, WA (Must be local to the greater Seattle, WA area) Supporting three active projects Contributing to operational reliability, knowledge retention, efficiency, and stakeholder confidence Top Required Skills Advanced Technical Writing & Editing: Proven ability to develop and refine documentation for complex enterprise systems with strong accuracy, clarity, structure, and consistency. ETRM / Enterprise Systems Collaboration: Experience working with SMEs in Energy Trading, Risk Management, or similarly complex operational environments; able to translate technical and business concepts for diverse audiences. Documentation Lifecycle & Publishing Management: Skilled in end‑to‑end documentation processes-drafting, reviews, approvals, publication, and updates-across multiple platforms with strong version control and adherence to standards. What Strong Candidates Will Demonstrate Experience documenting multi‑layered or enterprise‑level systems, ideally within energy, trading, or similarly complex environments. Mastery of writing fundamentals: precision, structure, clarity, consistent terminology, and the ability to simplify complex concepts. Hands‑on collaboration with engineering, architecture, product teams, or other SMEs. Proven ownership of the full documentation lifecycle, including governance, change control, style guides, and multi‑format publishing. Key Responsibilities Research, write, and edit complex documentation related to ETRM systems, workflows, integrations, and processes. Ensure all content meets editorial and quality standards, including format, graphics, and style guidelines. Collaborate with SMEs-traders, risk analysts, developers, and system owners-to gather and validate information. Coordinate with writers, illustrators, and publishing resources to prepare and refine document drafts. Manage documentation throughout the full lifecycle: creation, review, approval, publication, and maintenance. Publish content to SharePoint, Confluence, PDFs, internal knowledge bases, and other channels. Maintain an understanding of assigned systems, trading workflows, and regulatory considerations. Participate in project teams supporting enhancements, upgrades, and operational readiness. Track documentation deliverables to support project milestones and audit readiness. Job Type & Location This is a Contract position based out of Bellevue, WA. Pay And Benefits The pay range for this position is $50.00 - $60.00/hr. Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific elections, plan, or program terms. If eligible, the benefits available for this temporary role may include the following: Medical, dental & vision Critical Illness, Accident, and Hospital 401(k) Retirement Plan - Pre-tax and Roth post-tax contributions available Life Insurance (Voluntary Life & AD&D for the employee and dependents) Short and long-term disability Health Spending Account (HSA) Transportation benefits Employee Assistance Program Time Off/Leave (PTO, Vacation or Sick Leave) Workplace Type This is a hybrid position in Bellevue,WA. Application Deadline This position is anticipated to close on Feb 18, 2026. h4>About TEKsystems: We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law. About TEKsystems And TEKsystems Global Services We're a leading provider of business and technology services. We accelerate business transformation for our customers. Our expertise in strategy, design, execution and operations unlocks business value through a range of solutions. We're a team of 80,000 strong, working with over 6,000 customers, including 80% of the Fortune 500 across North America, Europe and Asia, who partner with us for our scale, full-stack capabilities and speed. We're strategic thinkers, hands-on collaborators, helping customers capitalize on change and master the momentum of technology. We're building tomorrow by delivering business outcomes and making positive impacts in our global communities. TEKsystems and TEKsystems Global Services are Allegis Group companies. Learn more at TEKsystems.com. The company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",2026-02-14 11:44:03,LinkedIn,87 Technical Writer jobs in Seattle
MCIM hiring AI Engineer in United States,https://www.linkedin.com/jobs/view/ai-engineer-at-mcim-4365327039,Posted 3:22:51 PM. MCIM - The Data Center Operating System (DCOS) is a platform that simplifies the complexities of…See this and similar jobs on LinkedIn.,2026-02-14 00:00:00,LinkedIn,448 Ontology jobs in United States
"Amazon hiring Tech Writer-Tech III - AMZ16113.5 in Seattle, WA",https://www.linkedin.com/jobs/view/tech-writer-tech-iii-amz16113-5-at-amazon-4372222049,"Description Employer: Amazon.com Services LLC Position: Tech Writer-Tech III (multiple positions available) Location: Seattle, WA Multiple Positions Available Author and deliver high-quality documentation and samples for feature launches and projects that help customers successfully implement AWS services. Develop comprehensive API reference materials and architectural documentation that demonstrate best practices for large-scale enterprise deployments. Develop scripts, sample code, and technical procedures supporting multiple programming languages for AWS services. Create reusable code, validation scripts, and demo applications for developer implementation. Develop, negotiate, and drive content strategy that is in alignment with product strategy by establishing technical documentation roadmaps. Lead strategic content planning sessions with product management teams and influence the development of product and API documentation for AWS services. Collaborate with UX designers to write UX text, review UX designs, and influence customer experience decisions. Engage with customers, gather data and feedback, and report insights around content performance metrics through analytics implementation and automated feedback collection systems. Design and implement processes for documentation effectiveness measurement. Drive insights into content and product planning. Collaborate with project managers and software engineers to impact engineering execution of AWS features and improve overall product experience. Participate in cross-functional teams to influence technical implementation decisions. Create automation tools and utilize AI tools that streamline documentation workflows. Lead technical documentation initiatives and projects, influencing, developing, and delegating to other writers. Establish mentorship for advanced technical writing skills. Identify and drive opportunities to improve efficiency through process automation solutions, workflow optimization tools, and scalable content production methodologies. Implement cross-functional process improvements that reduce manual effort organization-wide. (40 hours / week, 8:00am-5:00pm, Salary Range $125,800/year to $170,200/year) Amazon.com is an Equal Opportunity - Affirmative Action Employer - Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation Basic Qualifications A Master's degree or foreign equivalent degree in Information Management, Information Technology, or a related technical field and two years of experience in the job offered or a related technical writing occupation. Experience must include two years of experience in each of the following: Writing example code in one or more programming languages, such as Python, Java, JavaScript, Ruby, .NET, or Go. Designing, producing, and publishing technical documentation on the web for technical audiences to complete technical tasks, such as programming, software engineering, administering IT systems, using enterprise applications, or implementing cloud-based solutions. Experience using content publishing tools and working with XML, markdown, or HTML. Designing and implementing automated software tasks and data visualization information. Drafting and editing feature launches while collaborating with multiple engineering, product management, and UX teams. Documenting new features, including writing tech overviews, how-to guides, FAQs, and product announcements for user guides and API references. Addressing customer tickets by testing for technical content accuracy improvement and submitting code reviews to solve the problems at the code level. Utilizing AI technologies and tools to enhance technical content development processes and improve documentation workflow efficiency. The pay range for this position in Seattle, WA is $125,800/year to $170,200/year; however, base pay offered may vary depending on job-related knowledge, skills, and experience A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided by Seattle, WA Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site. Preferred Qualifications All applicants must meet all the above listed requirements. Amazon is an equal opportunity employer and does not discriminate on the basis of protected veteran status, disability, or other legally protected status. Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you're applying in isn't listed, please contact your Recruiting Partner. Company - Amazon.com Services LLC - A57 Job ID: A3177878",2026-02-13 02:41:48,LinkedIn,87 Technical Writer jobs in Seattle
"American Unit, Inc hiring Technical Writer in Bellevue, WA",https://www.linkedin.com/jobs/view/technical-writer-at-american-unit-inc-4372145874,"We need technical writers who have written sales enablement documents. The topics that this writer will be doing, are for the Sellers at TMO so they understand the Order Management tool/flow, the Contracts Management Piece, etc. These are training materials for the sellers. Job Description Job Title: Technical Writer - Go‑to‑Market (B2B Sales Content) Location: Bellevue, WA(Onsite) Only on W2 Role Overview We are seeking a highly skilled Technical Writer to develop compelling, clear, and commercially effective go‑to‑market (GTM) sales materials for our B2B product and solutions portfolio. This individual will translate complex technical capabilities-such as order management, offer management, contract lifecycle, quote‑to‑cash, API-driven workflows, and enterprise platform functionality-into crisp, persuasive content that enables sales, product marketing, and customer‑facing teams. The ideal candidate combines technical depth, excellent writing skills, and an instinct for value‑based storytelling tailored to enterprise buyers. Key Responsibilities Content Development (GTM & Sales Enablement) Create high‑quality sales collateral including one-pagers, product briefs, playbooks, sales guides, value proposition documents, and competitive positioning content. Translate product features and technical workflows (e.g., order orchestration, pricing configuration, offer lifecycle, contract workflows, APIs, data models) into business‑friendly messaging. Develop customer‑facing materials such as case studies, solution overviews, ROI/benefit narratives, and persona-based value stories. Partner with sales teams to craft proposal content, RFP/RFI responses, and executive-level messaging. Technical Writing Produce clear, structured documentation explaining enterprise capabilities (order capture, provisioning, billing, renewals, configuration, integrations, etc.). Work with SMEs, architects, and product managers to document processes, systems, and functional flows. Draft internal documentation to support product launches, training, and field readiness. Cross‑Functional Collaboration Collaborate with Product, Sales, Marketing, Engineering, and Customer Success to ensure accuracy and alignment of messaging. Participate in product walkthroughs, demonstrations, design sessions, and technical deep dives to inform writing. Maintain a consistent narrative voice across all GTM content. Project & Content Management Own content calendars, version control, and updates for evolving products and offers. Ensure all materials follow brand, style, and compliance guidelines. Proactively identify content gaps across the sales cycle and propose solutions. Required Skills & Experience 5+ years of experience as a Technical Writer, Sales Writer, Content Strategist, or similar role in a B2B SaaS, Telecom, Enterprise Software, or Technology environment. Demonstrated experience writing content for GTM, sales enablement, or enterprise product marketing. Strong ability to understand and simplify complex concepts such as: Order & Offer Management Contract Lifecycle Management Quote‑to‑Cash or Lead‑to‑Order processes APIs, system integrations, and workflow automations Strong interviewing skills to extract information from SMEs. Exceptional writing, editing, and storytelling capabilities. Comfortable operating in fast‑paced, evolving product environments. Experience with content management tools, Confluence, Jira, CMS platforms, or design tools (optional but beneficial). Preferred Qualifications Experience in Telecom, B2B Marketplace, Enterprise eCommerce, CRM/CPQ, or API-centric platforms. Understanding of GTM motions including product positioning, competitive intelligence, and customer segmentation. Familiarity with Agile product development. Success Measures High adoption of content by Sales and Product Marketing teams. Improved clarity and effectiveness of GTM messaging. Faster sales cycles due to better enablement materials. Positive feedback from stakeholders on clarity, accuracy, and impact of content. Please share resume at Anusha@americanunit.com",2026-02-12 20:48:43,LinkedIn,87 Technical Writer jobs in Seattle
